Username,Comment,vader_sentiment
SARIM AHMAD,May the Fourth be with you all! Proud to be a Star Wars fan!,1
Rogue Brix,Thank you for including the Lego Star Wars part us creators appreciate it!,1
THISTLE THISTLE,Thanks so much for including my Cal Kestis Cosplay! MAY THE FOURTH BE WITH YOU,1
Kirbo,This is where the fun begins.,1
Aaa23bendy1 (吳家全) #RoadTo500Subs#,May the 4th be with you all.,1
antonio girgenti,HAPPY STAR WARS DAY!!! May the 4th be with us! Everyone!,1
Blaze,"May the force be with you, always.",1
DM The GOAT™,Truly may the 4th be with us,1
MilkySilky,Ive been waiting for this day! May the 4th be with you!,1
mandalex,It's nice that they embrace fan films creators.,1
Cameron Price,"May the 4th be with you all, always!",1
Zakir Stocks,Happy May the 4th Be With You Day of Star Wars everyone! Hope everyone is ready for Season 2 of Star Wars: Visions this year! ,1
Flashtix,This is where the fun begins!,1
Fenteke Plays,May the 4th be with us all!,1
A sad minecrafter,May the 4th be with you jedi masters and padawans and everyone else,1
just jules,"May the Force be with you , forever",1
TerceiroGbmFan2023 NAUTTP ACVTG,May the 4th be with you all! : ),1
Flixcracker,May the 4th be with you Guys ,1
SwiftVortex,May the 4th be with you all ,1
HighGroundHoss,This is where the fun begins…,1
Finnh,May the force be with you!,1
Aidan Crouch,"May the 4th be with you, always.",1
A person,May the force be with us all,1
JuicyOrange,Wow this is so cool! May the 4th be with you <3,1
BabsDaJokerx,May the 4th be with you!,1
Princess2023♥️,May the fourth be with you guys happy star wars week ,1
Paul.🤺,Have a great May the 4th everyone. ,1
Nitro Post's Stuff,imagine watching YouTube while riding on a spaceship,1
Chillizard,This is where the fun begins !,1
Hal-bound,May the fourth be you everyone!!!,1
XDGAMER,MAY the 4th be with all of us,1
TCFTPMTheVideoEditor2023 HD ツ [DO NOT HACK],May The 4th Be With You!,1
Megatron_Prime172,May the 4th be with y’all. ,1
MichaelsWorld,May the 4th be with us all,1
Rupert Townsend,May the 4th be with you ,1
pooja,MAY THE 4TH BE WITH EVERYONE WHO READS THIS COMMENT!,1
Balint Marton,May the fourth be with you all!,1
TrendZ Gaming,Dear gamers let's enjoy this month ,1
Monique Poludniak,May the 4th be with us all Forever! ,1
ZackTheMuffinMan,May the 4th be with us!,1
Briseas,"May the 4th be with you, now and forever!",1
Star Wars Bunker,Just happy to see Theory in this ,1
lobster master,May the 4th be with y’al!,1
Armani Gaming Plus More,"Hello there, everyone, and may the 4th be with you all.",1
Charizard,Only a Sith deals in absolutes…and Obi-Wan. May the 4th be with you.,1
Bade Gozalici,May the 4th be with you PAL ,1
Juan Pablo,May the 4th be with you,1
ee-chuta,"Goodby old friend, may the force be with you always",1
Milky MArk,1:14 my boy saviour! He is growing ,1
nafeeza ayath,May the 4th be with you all,1
nik10sus,May the 4th be with you!!,1
a_stormtrooper2828一隻普通白兵,may the force be with us,1
Ferret,The fact that youtube actually made this,1
Bismo,The darkside is a pathway to many abilities some consider to be unnatural,1
Stephanie Garcon,This is where the fun begins,1
Anonymous,May the 4th be with you always,1
Tyleroni08,This is when the fun begins,1
Gort,May 7th : lemme introduce myself,1
V.I.P. Productions,May the fourth be with you!,1
Elanipfan,May the force be with y’all,1
-,May the 4th be with you everyone,1
unlucky me,May the force be with you,1
tozv,May the 4th be with you everyone who watched this video,1
NewSallyPurpleYT : ☃️🌨️,Interesting and cool vid. May the 4th and force be with you.,1
Sunsett_,"may the 4th be with you, happy star wars day<3",1
Pegasus,1:14 my boy saviour the lord,1
Darth Morbus,Petition to add Zanny here.,1
Alex Martinez,May the Fourth be with you. Always.,1
StarTank,"Great to see some recognition of the fan films! MT4BWY!

Where's my man Zanny tho :(",1
snk sck ⁠۝,May 4th be with you️,1
〰️SAUCEY♌️Shorts,May the 4th be with you Gamers let’s GO!!!!!!!!!,1
Gayathri Natarajan,"Brilliant, just brilliant",1
ChanVerse,May the 4th be with you~!,1
Netflix Co,May the 4th be with you as well YouTube!!,1
Terry Zhu,"Some people celebrate May 4th as ""May the Fourth be with you"". Some people celebrate Revenge of the ""5th"". Others celebrate Return of the ""Sixth"". But they all love Star Wars",1
Darth Vader,May the force be with you all,1
Nico Bolzico,May the 4th be with You ,1
Unicorn,Jedi survivor is a masterpiece,1
DolphinKing123,may the fourth be with us all,1
Sunny_NovaAngel,"May the 4th be with you all, fellow Jedi.",1
Atrocious,This is better than any of the Rewinds.,1
AlphaPearl,May The 4th Be With You! Happy Star Wars Day!,1
Roronoa Omar,"May the 4th be with you all, always. FOR THE REPUBLIC!",1
Axel CT-0936,May the Fourth be with you all,1
Luke Skywalker,May the 4th be with you !,1
PyROuge Stuffs,May the 4th BE WITH YOU!!!,1
MachoCar,May 5th better,1
DetectiveDucklin,May the 4th be with y’all,1
Sebabeje2,"May the fourth be with you, YouTube and with everyone that is reading this",1
Leø plays,May The 4th be with you!,1
•_hehe_•,We love may the 4th,1
Noobking_Yt,May the 4th be with all of you,1
MissFirefly11,ALL HAIL GALACTICHAD!!! He is perfection! ,1
Captain Javy Gonzalez,May The Force Be With You️!!!,1
E.D DUBSTEP MLB,May The Fourths Be With You Always,1
SHREK,"thank you, YouTube. May the fourth be with us, everyone, all.",1
Trillius,May the 4th be with you.,1
•Luna•,MAY THE FOURTH BE WITH YOU ALL,1
Ninja Boy,May the 4 be with you all,1
Mr. Tarbosaurus,May the 4th be with you~!!!,1
Shyper17,May the Fourth be with you all.,1
Hiteesh,"Hello there, May the 4th be with all of you:)",1
Sigges Lego- och gameplay,Amazing!,1
KittyPryde330,Woohoo bucketheads!!!!!!!!! If you havent seen it yet go watch it! ,1
Wild. William Allan Ribeiro .,"Muito obrigado,
Fico muito grato ️",1
Coversongs worldwide 🎶, Thankyou @YouTube may the 4th be with you ,1
Cyber Punk #386,All those countries using the Day-Month scheme are celebrating the Yoda version: 4th of May be with you ,1
iyana pressoir,May the 4th Be With You!,1
Cookie Ninja ツ,MAY THE FORTH BE WITH YOU,1
Faerielektra,"May the 4th be with you, Tube! :)",1
Vapor,I've got a really good feeling about this.,1
Ali Ali,May the 4th be with U guys,1
Yeager,Only Kathleen Kennedy can stop great star wars stories from being made in honor of George Lucas,1
Advance future Tech,May the 4th be with me!,1
Pegasus,@saviour30,1
Green Pin #AntiCyanSkittle,May the 4th be with you too YouTube!,1
-,May the Fourth Be With You All! And come on over to the Empire. We've got both vanilla and chocolate cookies.,1
Michell Javier Pereyra Casanova,YES! That was prety amazing!,1
Kingo,“I’ll be looking forward to this” -Count Dooku,1
𝐌𝐫𝐯𝐥𝐥,MAY THE 4TH BE WITH YOU ALLLLLLLLLLL,1
DamianBrawls,"Yo, may the 4th be with us all.",1
Yurex Varela,May the 4th be with you all!! Saludos desde Cuba.,1
ValT,May the Force be with you!,1
Hagyma,May the 4th be with us all!,1
[👑]JeveX,May the 4th be with you all!!,1
BobtheBlob,May the 4th be with you all!,1
BittingBandito,May the fourth be with you all!,1
Isghaaq Sataar,May the 4th be with you all.,1
Master Mouldie,May the 4th be with us all,1
13barash,May the 4th be with you!,1
Shadow Singularity,May the 4th be with you always,1
Fc_Oofman77,This is where the fun begins,1
★Lunastormz ★,May the fourth be with you!,1
random person,May the Force be with you,1
Hugo Ribó Lorente,May the 4th be with you all,1
Bananaman,May the the 4th be with you all,1
Robot 751,May The 4th Be With You!,1
Shen Korte,May the 4th be with all of you,1
Gokul DC,May the fourth be with you all,1
EasyXP,May the 4th be with you!!!,1
The Gray Jedi,May the 4th Be With You!,1
-,May the 4th be with you all!!!,1
Dino Skywalker,May the 4th be with us all!,1
Coley0120,May the 4th be with us all,1
Empty had,May the 4th be with you!,1
Deadly-MikeAndIke,May the 4th be with us all,1
DawaraDragon,This is where the fun begins,1
The Canadian Pulse,May the fourth be with you!,1
jack hills,May the 4th be with you all!,1
⭑ ℓoveshackcam - quit💓,may the 4th be with us all,1
ItsYaBoi Zakyree,May the 4th be with you!,1
trheyi animations,May the 4th be with you!,1
Buffed Waffles,May the 4th be with you!,1
gamer boy,may the force be with you,1
Dark Mono X,May the 4th be with you!,1
wik,May the 4th be with you!,1
Krinooo,May the 4th be with you!,1
KingCrab,May the 4th be with you!,1
Sharkboy403,May the 4th be with you!,1
Rocket Studios,May the 4th be with you!,1
Finzard,may the 4th be with you all,1
DJ Gaming,may the fourth be with you all,1
Mike F,May the 4th be with you,1
Baby Ewok,May the 4th be with you,1
UNIVERSAL_VLAD,May the 4th be with you,1
Totaly not iluminati,May the 4th be with you,1
Tünde Eszlári,Sensational video.,1
K Why Gaming,"This is my pastor’s birthday and he loves Star Wars so, May the 4th be with you all!",1
Luke-SW,May the 4th be with you,1
Optimusprime809,The best YouTube Rewind in history no cap,1
Scorpio_,May the 4th be with you.,1
benjamin martindale,ayyy shoutout to theory for being the best star wars content creator.,1
SANCHEZ,Great gameplay friend,1
UrpiainenTheUrpoilija™ (UTU),"""Once more the Sith will rule the galaxy!""",1
Rick Riffel,We need heroes to fight the AI empire.,1
Fadinghail,Im part of many star wars communitys on yt they are amazing,1
Shadowmaster73,May the 4th of May be with you G,1
Brindle,Yay Mitch Manix and Galatichad ,1
Nitro Post's Stuff,may the 4th with us,1
jabrownie12,Jedi survivor is such a good game,1
LOL dude,Trust.... Only...... In The Force!!!!!,1
ArrowSlinger,Love to see Star Wars theory.,1
Mypholis,"Enjoying Jedi Survivor and throwing full play-throughs and SHORTS up as they come. However, performance on PC is getting worse - hope we get a patch soon.",1
grand theft auto 6 and red dead redemption lll,May the 4th be you everyone jedi,1
OptimumSlayer,GAME(S) looks amazing,1
jeanette edwards,may the 4th be with us,1
FFiery,May the fource be with you.,1
Wren Girl,This made me smile,1
Gamerplayz2000,My birthday is may 5th and this was a pleasant surprise!,1
THE TRUE LEGO EDA,MAY THE 4TH BE WITH YOU!!!,1
Adam Osborne,Great but . . . You should feature Ahnald and Songeta. Plus a few more well-known builders.,1
game_plays,we need a custom playbutton for MRBEAAAAAAST,1
Marshall55,May The 4th Be With All Of You,1
food 집밥,"흥미로운 게임일것 같아요
재밌겠다^^",1
Offworlder1,The 5th shall rule the galaxy once more and we will have peace.,1
Conor Murphy,Ah there’s that corporate mandated video we all love,1
NatalieLS,yo Star Wars Theory was featured in here! That’s awesome! He is the GOAT!,1
Pigglet,"May the 4th be with you 
Happy star wars day",1
Bomber Noodle,Would have been a crime if blitzwinger wasn’t in this. Thank goodness ,1
Asap Animation,Thanks for including my video! May that forth be with you!,1
Karl Frieder,Stark ohne eigenen Content. Reaction YouTuber sind Stolz.,1
TotallyNotMyYoutubeChannel,"May the 4th - Victory Day
The majority of Covid troops surrendered to the main military.",1
KingofGamingAndTrains456,“The 4th is strong with this one!”,1
super micah,This is so brilliant also may the 4th be with you yall,1
mixedvideo101,"Wow Amazing thank  you,MAY tHE 4th BE WITH YOU",1
awhxariana x #do.i.quit?,May the 4th be with you  brilliant video,1
Densetsu Kage,"Bismillah Semoga Gameplay Mobile Legends Ku Dapat Menghibur Kalian. 
Thank You.!!! 🇮🇩",1
Smayller,immaculate,1
FAITH NEE,May the fourth be with you,1
AnastasiaPlaysAlotOfRoblox!,May the 4th be with you too!,1
Zack Calderon,May the 4th be with you too!,1
Half dolphin,May the fourth be with you,1
Samuel Voegelin,Wow surprised YouTube did a Star Wars event for May the 4th!,1
Nguyen Trung Hieu,Amazing!!!,1
Supper,May the fourth be with you,1
Darshan0n,Best content of 4th MAY!,1
Saad Nabil,May The 4th Be With YouTube! Can you please make a Playlist of it?,1
WoodTurning sepehr,Perfect ,1
AJISTHEBOSS,MAY THE FOURTH BE WITH YOU ALL,1
Eyden,May the 4th be with you,1
Lily,This is amazing!!,1
Logan P,May the 4th be with you,1
SirProsAlot_VR,May the 4th be with you,1
Steven ChaRgeD,May the 4th be with you,1
Blackwight,May the 4th be with you,1
Sammy Villegas,May the 4th be with you,1
Jess,May the 4th be with you,1
color cats,May the 4th be with you,1
cocomann,May the 4th be with you,1
Spiderchef,May the 4th be with you,1
Virtual Doge,May the 4th be with you,1
Cute animal videos,May the 4th be with you,1
link plays,May the 4th be with you,1
The TV killer video watching account,May the 4th be with you,1
He jay The third studios,May the 4th be with you,1
Theboyz,May tge 4th be with you all,1
RIZQY ROGERS,May The 4th Be With You,1
los jugetes del oso,may the 4tg be with you all!!!!!,1
KargaWilson,May the 4th be with you YouTube ^^,1
Alfred Chan,Happy May the 4th!,1
Precious Otoakhia,Long live the empire,1
Dark Death,May the forth be with us,1
Maciej Wiśniewski,May the Fourth be with you!,1
DinDjarin Gaming,May the fourth be with you,1
Tacohead :1,Happy may the 4th my padawans!,1
APX STUDIO,May the fourth be with you,1
DarthJarJar,May the fourth be with you,1
lilly white,MAY The 4th be with u all,1
kannotlogin,May the 4th be with u!,1
Slayer Come back,May the 4th with you all....,1
O_O,May The 4th Be With You,1
Vontrell Lyles,May the 4 be with you.,1
Punjabi Joke Club,Thanks YouTube Team God Bless You For ever,1
Penguin Gang,May the Fourth be with you.,1
QoTz,may the 4th be with you,1
SummerAnimal635,may the 4th be with you,1
Paul.🤺,May the 4th be with you You too YouTube. ,1
Numberblock 1 (AUTTP),May 4th be with you,1
UnreaLorenzo,"YouTube: may the 4th be with you

Me: thinking about all veterans, heros, the fallen and the survivors who fought for our freedom in WW2",1
AS games,May the fourth be with you too youtube,1
Onkar Indurkar,Let's go!! Neardy finally made it.,1
Son_Seth,May the 4 be with you,1
KaspeDKK,"Wow, amazing",1
HMS Hood,May the 4th be with you too youtube,1
MetalHendrix,This is The Way,1
Discoboycraft,May the 4th be with you YouTube,1
Geilster,"""May the 4th be with you""",1
Grand master sam,May the fourth be with you too,1
ABHAY VAISHNAV VLOG,Amazing  1:15,1
ThunderBlastvideo,finally a good youtube rewind...,1
Skeebo's Gaming,Very cool ,1
Ҝ卂几匚乇尺,"May the fourth be with you

-Mike Tyson",1
berd watcher,may the 4th be with me.,1
PKV GAMING,May the 4th be with you. Thanks For inviting.,1
Punjabi Joke Club,Great ,1
Miguelina N Gonzalez,May the 4th B with you,1
pawan k s n short video 2023,Very good ,1
Atharv Gaming,thanks youtube for your big support for all small creaters,1
NikhilisHere,Dark Vader will become more powerful then either of us,1
An unbelievaball,May the 5th be with you now,1
TD-110,A surprise to be sure but a welcome one,1
InfinityZay,A surprise to be sure but a welcome one,1
ABHAY VAISHNAV VLOG,Super ,1
Biscoff,Nostalgia,1
Madara Gamer,Thank you ,1
hirosof,Wow  that's cool,1
Alien Interloper Studios,"thank you for celebrating my birthday, YouTube!!",1
『Muichiwho』,HAPPY MAY THE FOURTH YALLLL,1
Mr.Creator CC,You may can’t handle the force of the 4th ,1
ARPAN BISWAS,That's great video,1
Vespine,"You know what is even better, it is my sisters b-day today! Happy Birthday Sis!",1
YAMETEMAN,Que grande YouTube,1
𝙎𝙬𝙞𝙢𝙢𝙞𝙣𝙜𝙏𝙪𝙧𝙩𝙡𝙚🐢,May The 4th be With you Too,1
Justin&Minami31 J&M,Amazing,1
Gxzy,May the 4th be you,1
CreeperRedFox,May the 4th be with you,1
Captain Loqey CT-3767,Score one for the REPUBLIC!  (May the 4th be with you)...,1
Jaclyn Jax,Go Fourth and Prosper! ,1
VALIORO,May the 4 the be with us ,1
Cartoon Network Internatinal,Happy Star Wars day to you too,1
CREEPERWOLF,may the 4th be with u,1
ศุภณัฐ เย็นปลื้ม,Hello there may the 4th be with you,1
CalebTheCollector,Theory needs to see this,1
NightShade,my heart is cold baaaallls my moves are bold baaaallls,1
anonymous,"Hello there, General Kenobi.",1
prxle,may the fourth be with you too @YouTube,1
RoyalSimp,Amazing,1
Mishka,Thanks for including me!,1
Youtube Aceh berdikari,Good luck and be with all 1:33,1
Tony Talks,-,1
BellaChris,Interesting ,1
HEFTYBOX,Battlefront is a fun game,1
Pipeline Interactive,Starkiller! LETS GOOO!!!,1
VagueDestruction,June the 5th be with us,1
Watuni Channel,Thank you my friend,1
Rago Mtb,Now we know why eggs got so much more expensive,1
DoorReviewer,may the 4th be you,1
DevZaren,Galactichad!!,1
Jordan Nicholson,cool! nice video.,1
AKOX JOD,Nice,1
bruh,Yeah my whole school played the star wars theme on the bell on May 4th,1
BYL,THANK YOUUUU,1
Noah Suarez,Now its may the 5th for ,1
Pop king 👑,May the  4th be with you to,1
anime fan 1039,May the 4th b w u :),1
Jai Shri Ram,Good ,1
FernatikSlac,UNLIMITED POWERRRRR!!!!!!,1
DailyMemes,Why wasn't Bombastic in this he is probably the best star wars youtuber,1
Lagging Leland,This Is The Way.,1
Beth Moritz,happy late star wars day :D,1
Максим Кушнер,"Любовь, смерть и дроиды.",1
Nebula,This is the way,1
World Desires,Blitzwinger childhood goat,1
[UTA] RED UTTP THDTC TSPL AOTN PMD,happy may 4th,1
Beeg smg4,Epic,1
Leo Lynx And Tiger,Nice Video,1
Sunday tv official,Love you YouTube you are my sunshine,1
Baller,May the Mass*Acceleration be with you,1
Sith Lord Navaneeth,happy star wars day,1
• Violet •,Cool!,1
Mihnea Rotaru,This is the way,1
Beth Moritz,happy late star wars day :D,1
❶ ATR /Koldeaf,nice youtube ,1
"Ann Pal Moriya , Japan Vlog",thumbs-up,1
Darth Yoda,Good thing theory is in this otherwise he would make a whole vid whining that he wasn’t in it while calling it “a parody”,1
Empty had,Thank you YouTube.!,1
RSDVideo,Family guy re-enacted every single movie,1
Oedo Gaming,May the 4th be with you all! CT-6149 “Comma” signing off.,1
Mateo A. Leonidas,May the 6th be better,1
god of cheese,ITS THE 5TH OF MAY GOD DAM IT,1
Artem Afonichev Мusic Сhannel,this is the youtube way ....,1
DeadlyShooter850,Thanks YouTube ,1
Axnious,May the 4ce be with u,1
AKOX JOD,-,1
The Flame,Saviour 3.0 empire represent 1:12,1
Shaun 3114,May the 4th be with You...Tube,1
seide Endris ሠይድ እድሪስ,️,1
UNIQUEwastaken,Rhis is amazing,1
Vikki Smith,Instresting!,1
Lyn10 Gaming,It's my nieces 13th birthday today too,1
Grielfi,Oh… that’s cool!,1
KARYA ANAK RANTAU KARIMUN,Thank you,1
raffyan heryana,Thanks you so much yutube,1
90sanime,WOOOOOOOOO!!!,1
Trininja11,Cant believe some Brickfilms got in!,1
Spen10Gamer,lovely,1
Enzo Bollo,Thank you YouTube,1
Greyisland217,"Thank you, Very cool YouTube",1
microbugdraws,you know when youtube posts were gonna be happy,1
PrathamXd,"Yooooo , im included in thissss ",1
Erdenechimeg Monhsaihan, 0:33,1
Screech,YAY!,1
WildCard,This is the may mando theme,1
Random Clips Military,Youtube is the empire,1
Justin Almonte Bernabel 2003,-,1
Tra BouBou,-,1
Nugget,Only youtube would make a video with 13k views number 2 on gaming trending,1
Banan,It’s over Anakin!,1
Ms. Joyner,Ok thanks ,1
luke sales,-,1
Collince Islam,-,1
SOUROV™ EDITZ,Love You Bangladesh 🇧🇩🇧🇩,1
FIK,Like and share,1
Hidden Synin,Ah yes may the 5,1
Pipeline Interactive,The force unleashed 3 is confirmed,1
-,wow!!!!!!,1
Darksaber Productions,Ayy the builders!,1
Ripperr,This is the may.,1
DEATH TROOPER,BUFF STORMTROOPERS,1
Hyper JT,Yea!! ,1
Thomas,This is the way.,1
Kathleen Weinberg,Good morning everyone,1
Saqer Alqasem,-,1
-,️,1
Villainz,ALWAYS!!!,1
Enigmatique!,Not even YouTube has its own Premium,1
Hiralal Dj Remix No 1,-,1
Awaludin Official,Game yang sangat bagus,1
indominerd,"aaaaaaaaaaeeeeeeeeeeeeeeeeeee, só boraaaa",1
Op Meliodas Yt,Thank you YouTube invite me lota of love,1
Milo 🏳️‍🌈⃠,Nice,1
Gurudatt kumar vlog 6377,Nice,1
死 KingHEX,Nice,1
Md tv1,Nice,1
𝐉𝐚𝐧𝐞.𝐨𝐟.𝐝𝐚𝐫𝐤,-,1
Sanjay Santokee,this is the may.,1
Мистер Золотой Орижин Овчинников Константин Ёжик,Very Cool !!! (From Мистер Золотой Орижин Овчинников Константин Ёжик) !!!,1
The one Eyed Ghoul of dreams,Saviour 3.0  1:15 ,1
DVT vlog,TRÂN TRỌNG CẢM ƠN ,1
BigBandSuuMo,here for SWtheory and SWtheory only  yesssirrr,1
Renuka Rani Singh Mahadev,Thankyou,1
petualangan si Rudi,Horay ,1
Omar's World of Fun,Mm may the force be with you mmm,1
Mousey,Yessssss sirrrrrrr,1
Mrsッvileven,may the 4th Be with you ️️,1
Lmaplays,Hooray,1
Daniel Berzinskas #roadto200subs,"THIS IS A SPECIAL DAY, 7 DAYS UNTIL MY BIRTHDAY",1
공간의 행복,KOREAN? CHUNESE? AMERICAN? NO MATTER STARWARS IS THE BEST!!!,1
C W,@StarWarsTheory yeah shout out to seeing this channel on here by YouTube,1
Aviation John Guy,There is many star wars gamers videos wow,1
just a joseph plush,"Hey YouTube, May the 4th be with u!
Pin this if youtube is cool ",1
-,It's beyond our imagination,1
ho no,my life youtube,1
Lil Agent 4,1:11 Yes including mine,1
Chris A,if you only knew the pow'r of dark mode,1
Mehmet Uçar,YouTube ,1
FUNNYSALESMAN1997,"WOW
YOUTUBE
THATS A BIG SHOT OKAY.",1
Zalaan 355,"We hope this video wont get taken down becuse of the copyri- ,oh nevermind",1
Ts Gamers1982,my pc..crying...can't stand it...playing this game ,1
Furious Icyonis,My birthday is today so thanks!,1
AB iSLAMIC STATUS,Love,1
SGH,യൂട്യൂബിന് ചാനെൽ ഉണ്ടെന്ന് താമസിച്ചാണ് അറിഞ്ഞത് ,1
MR GeeTH,-,1
C-Sec Officer 123,You’re all clear kid! Now let’s blow this thing and go home!,1
Kenny,"Who loves star wars
 (also its 1 am in Australia it was yesterday bruh)",1
StrawIceBerry,Cool,1
RezXOp Playz,May 6th best,1
JellyRaphael,Cool,1
أمم أمثالنا,Hey coucou ,1
Jordan Skochinski,They used theory! Let's gooo,1
ali nadeem,"Nice, Great,",1
RRREEL,WE ARE ALL ANIMALS!,1
Salma Alvarez,"okei, pero dónde está la sombra del imperio????",1
JustKing27 ッ,Yeah starwars,1
Owen Mayhill,My birthday was on may 4th hehe,1
𝙼𝚊𝚖𝚊_𝙷𝚊𝚛𝚛𝚒𝚗𝚐𝚝𝚘𝚗,May the 4th be with you too! (First in 17 seconds lol),1
Samurai Jedi16,"0:50 Pointing LEONARDO DICAPRIO meme

Yoooo, its SW Theory!!!",1
Random SCP:SL Content,Happy victory day :troll:,1
utp,This is the may,1
Kaushtrick,"️one day YouTube feature me in his video 
Date:- 4th may 2023",1
Monkee,-,1
B-11 A1RFORCE GUY🇦🇹,-,1
Varun zone,Op,1
Rod Bros,Dope,1
florenzguy,(heavy breathing),1
ShandannAnimates,Hello  glad to be here in 1 minute,1
Lazike Nuru,thanks ,1
VON,Nice bro 0:57,1
King da Drag0n :D,My birthday  ,1
Justin gaming,Wow,1
ChromeCable,Watch Saber City!!,1
a_stormtrooper2828一隻普通白兵,you dont know know the power of the dark side,1
GdZazer,The newest of YouTube,1
Kens Majau,Watching from Kenya Africa,1
Paku Singh,Vinod ,1
Cracklix,-,1
Kosta Stojanoski,forever!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
Clone Trooper 23,Lezzzzzgoooooo,1
Mantritechy,Imagine getting  by youtube,1
LairofGri3vous,Theory!!,1
I’m DonaldDuck bro,YESSIRRRRR,1
David Parnell,Good video,1
Retro,Here before this blows up ,1
M man with a M profile picture,wowzers!,1
Based,Happy May 4th everyone.,1
Samachar Buzz,Indeed Nice,1
ECHS BACHS,: ),1
Woo Thriller . 261M views . 1 hours ago..., MAY ??! what???,1
Perstob,May 48th is better ong :/,1
Liberlo5454,My birthday,1
JL edits shorts and videos,“Hello there.”,1
Prachi Mehra,-,1
Nothing to Likes,omg ,1
[¥]FunkyNightCombatGaming[¥],Yoo my teacher named mshorts has a shirt like that but it says may the shorts be with you,1
Carlos Jonathan,"May the 4th be with you 
No may the force be with you is better",1
I have a Small pp🙂🤭,:),1
Dev Builder,Noice.,1
🌐 Global 🌐,"YouTube  ""ha!crazy bo""",1
Orbzzz,And today my birthday ,1
RENZO Station,Yo where’s my boy the Star bazaar,1
Coyot,are these FPS drops... in the first 20 seconds of a video... made by youtube...,1
Sebastyan1382,That good,1
RNS furainke,Pubg is grand grand grand father of all games ,1
-,Thanks  for mail me 0:33,1
NotZen,May 6 is better.,1
CGF GANG,YALL NEED TO UPGRADE YOUTUBE,1
Joshua,YEZ SIR,1
Rien2ee,Best,1
Rosaria Improta,YouTube love    ,1
GabbyWabbysWorld,it's my birthday today!,1
Hail2Razor,YOUTUBE YOU MADE THIS COMMENT HAPPEN,1
AlexiusIComnenus,Woaaah,1
ItzCubieYT,may the 5 not be with u!,1
BT Babu 09 • 356K views • 2 hours ago •••,Please support karo,1
SANCHEZ,Greetings to all mobile legend gamers,1
𝘔𝘢𝘷𝘦𝘳𝘪𝘤𝘬YT,May 4 is better,1
𝔐𝔯𝔰 𝔐𝔞𝔩𝔣𝔬𝔶,YASSS,1
AXOMxJonnyBoy,All r a youtuber in the comments section ️️️️,1
HALAL ASTROCRIC,Bro add a funny scence of stream crashing on a main point,1
Kian,A women can’t cosplay Cal Kestis that’s not how it works,1
Din Djarin,“Hello there”,1
lalito gaete,what is blud doin ,1
KAYLA,"Yay, @GabSmolders! 0:16",1
Cucaracha,Hey can you add the community for ipad,1
Lily,Hello YouTube ! 🩷,1
The One,-,1
FlimThePerson,Where’s Zanny?,1
Anas Almalki,Wow youtube,1
Enzo ☄️,MTFBWY all!!!! ,1
Liam0Legend,Always...,1
BANKAI_AMP,"Why is ur algorithm kinda bad? Not In a  disrespectful way but editors like me only get 200-700 views each vid and we put so much work and time into them if you can please fix that, YouTube thanks ",1
13barash,Lego!,1
ThatIdiotOverThere,Underneath it’s showing a vid of Jedi Survivor lol,1
moka,My birthday today!,1
